loss,val_loss,accuracy,val_accuracy
0.44756124782562257,0.21628623139858247,0.8146666666666667,0.914
0.3042700372338295,0.20584689262509345,0.8803333333333333,0.916
0.26716787670056025,0.18216642540693284,0.888,0.92
0.2551882401506106,0.19489591017365457,0.8986666666666666,0.928
0.2660264224211375,0.279391177624464,0.8916666666666667,0.891
0.24473535337050756,0.17315646195411682,0.906,0.93
0.2458607505361239,0.1650981542468071,0.905,0.936
0.23935607866446176,0.20018203604221343,0.901,0.918
0.2136099322338899,0.18226699656248094,0.915,0.927
0.2417110035320123,0.1939973675608635,0.9066666666666666,0.925
0.22051204760869345,0.1927691465616226,0.9123333333333333,0.925
0.2182033055027326,0.22072800312936305,0.9083333333333333,0.916
