loss,val_loss,accuracy,val_accuracy
0.42162145737806955,0.2177221187353134,0.8373333333333334,0.914
0.2938353499174118,0.22364415401220322,0.884,0.915
0.2579568002621333,0.1865414410829544,0.897,0.933
0.2764832914471626,0.1693298588991165,0.891,0.94
0.2437851371963819,0.18493981635570525,0.9023333333333333,0.928
0.23543032068014144,0.1865159673988819,0.9076666666666666,0.926
0.23955745522181193,0.16081107187271118,0.9066666666666666,0.942
0.20905598619580268,0.17072756761312485,0.9153333333333333,0.935
0.2128783008257548,0.16421540275216104,0.917,0.931
0.2306464914083481,0.1439586112499237,0.9063333333333333,0.94
0.23576709014177322,0.164713594019413,0.9013333333333333,0.924
0.216558877825737,0.1527343489676714,0.9173333333333333,0.939
0.21121282212932904,0.13989177826792001,0.9186666666666666,0.942
0.21791594980160395,0.1414978370219469,0.9036666666666666,0.944
0.20973417447010675,0.1866922605484724,0.9133333333333333,0.915
0.20891335080067316,0.17695663379132748,0.9136666666666666,0.931
0.20015001819531122,0.14360938128829,0.9193333333333333,0.941
0.19459022612373034,0.1358590046465397,0.9233333333333333,0.936
0.1856050643523534,0.1421417826116085,0.9273333333333333,0.952
0.19508268612623214,0.1475962412059307,0.929,0.937
0.18648963193098703,0.1462428432032466,0.9273333333333333,0.943
0.18626404226819673,0.1362280670106411,0.925,0.947
0.18161053339640298,0.13978656899929046,0.9323333333333333,0.943
