loss,val_loss,accuracy,val_accuracy
0.4344008067448934,0.21738237154483794,0.8286666666666667,0.913
0.27047426817814507,0.2934482882916927,0.8963333333333333,0.887
0.2530853053331375,0.1859602492749691,0.901,0.929
0.2693628972570101,0.19415045467019082,0.8886666666666667,0.933
0.26500831377506257,0.18347479796409608,0.897,0.937
0.2774979799191157,0.18134343945980072,0.8846666666666667,0.933
0.24156876798470814,0.1595617490708828,0.8996666666666666,0.94
0.2481774593393008,0.15643615603446961,0.9056666666666666,0.95
0.24205854378143946,0.15382699093222618,0.9016666666666666,0.944
0.22523524864514669,0.16499387526512146,0.9116666666666666,0.941
0.2138313243985176,0.14810151195526122,0.9173333333333333,0.944
0.22865912208954492,0.15911780124902725,0.913,0.941
0.22324975098172822,0.1582607207894325,0.9093333333333333,0.94
0.21281479557355246,0.14335559983551502,0.9133333333333333,0.94
0.20949490934113663,0.146582336217165,0.9116666666666666,0.945
0.2273042320907116,0.17512298837304116,0.9063333333333333,0.931
0.22006639365355174,0.14033573985099793,0.9166666666666666,0.947
0.22405230020483335,0.14305438762903214,0.9116666666666666,0.948
0.22480708595116933,0.18570843387395145,0.9066666666666666,0.926
0.21131936715046565,0.14362777704000473,0.9166666666666666,0.947
0.21813817570606867,0.1464931194484234,0.9116666666666666,0.949
0.20529289071758589,0.15197188729047775,0.9153333333333333,0.944
