loss,val_loss,accuracy,val_accuracy
0.47055425111452737,0.5010057944655418,0.8023333333333333,0.811
0.31312729183832805,0.2337046131491661,0.8733333333333333,0.914
0.3111547014315923,0.23548952922224997,0.8726666666666667,0.918
0.30373306508859,0.23211634021997452,0.8836666666666667,0.913
0.26611944085359573,0.24746370434761047,0.8916666666666667,0.905
0.27823315636316936,0.2147803148627281,0.8946666666666667,0.916
0.26834854942560193,0.18577676117420197,0.892,0.924
0.2706817458470662,0.20860201314091684,0.886,0.919
0.25104414025942484,0.1949119834303856,0.8983333333333333,0.928
0.24709758595625558,0.23408053907752038,0.8966666666666666,0.916
0.22895930289228758,0.2126628803908825,0.9106666666666666,0.916
0.23417884556452434,0.17647456592321395,0.9046666666666666,0.933
0.23006062146027884,0.17932820589840412,0.916,0.931
0.2319615269502004,0.1734673254042864,0.9063333333333333,0.935
0.2356175089677175,0.16117602263391018,0.903,0.942
0.22096436510483425,0.17425466710329054,0.9156666666666666,0.931
0.21494065714875857,0.18585268306732178,0.9143333333333333,0.924
0.22674597133199373,0.1570254451185465,0.91,0.944
0.21595204455653827,0.17061901435256005,0.9173333333333333,0.933
0.22016645155350367,0.15821971364319323,0.914,0.944
0.2234746625026067,0.16310060358047485,0.913,0.935
0.22158568906784057,0.14761990165710448,0.9173333333333333,0.947
0.2137816622753938,0.15738143396377563,0.9146666666666666,0.946
0.2275015908877055,0.16431645296514033,0.911,0.942
0.22264896352092425,0.15002871030569076,0.9133333333333333,0.942
0.22062106615304947,0.1593694169819355,0.9136666666666666,0.94
0.22285488041241963,0.15877459940314292,0.907,0.944
