loss,val_loss,accuracy,val_accuracy
0.48163478342692057,0.2664989207983017,0.783,0.896
0.29904411629835764,0.2529964692890644,0.882,0.899
0.2682619212468465,0.21547656896710396,0.8933333333333333,0.912
0.2717718986670176,0.23371153378486634,0.8863333333333333,0.909
0.27890302924315136,0.22468222746253014,0.8826666666666667,0.916
0.2451382761001587,0.20601423758268356,0.9023333333333333,0.918
0.24672631287574767,0.19345265430212022,0.9036666666666666,0.924
0.22126435506343842,0.2030263836234808,0.9116666666666666,0.921
0.21646315438548724,0.19298608390986918,0.9176666666666666,0.928
0.24409655624628068,0.1937564464956522,0.903,0.927
0.23164465792973837,0.17211666786670685,0.9083333333333333,0.935
0.20770660495758056,0.1930739115178585,0.9163333333333333,0.925
0.2120797667702039,0.1921313264966011,0.9163333333333333,0.92
0.2032043511668841,0.24841258668527008,0.9216666666666666,0.911
0.22024590412775674,0.21405581982433797,0.9133333333333333,0.92
0.20338946382204692,0.1688068358823657,0.9196666666666666,0.939
0.2037113777498404,0.18336901597678662,0.9183333333333333,0.925
0.20709274340669315,0.1697270458638668,0.9176666666666666,0.936
0.19197240143020947,0.17113403025269508,0.9293333333333333,0.941
0.2033147431711356,0.16251991491764783,0.918,0.941
0.19701254586378733,0.15732033602893353,0.926,0.942
0.19770649459958076,0.16999640756845474,0.9186666666666666,0.937
0.17601934197048347,0.1638409499824047,0.9276666666666666,0.934
0.17706810562809308,0.15598323228210212,0.9276666666666666,0.935
0.19403928689161937,0.15926433765888215,0.9306666666666666,0.939
0.19674644112586975,0.16037490007281302,0.9286666666666666,0.934
0.18880997251470882,0.17461066764593125,0.929,0.934
0.18614741957187653,0.16676222194731236,0.9263333333333333,0.939
0.19560900646448134,0.14591404047608375,0.9193333333333333,0.939
0.1840686117708683,0.16547633089125158,0.926,0.936
